width,time
2,0
4,0
6,0
8,0
10,0
20,0.001
30,0
40,0
50,0.001
60,0.001
70,0.002
80,0.001
90,0.002
100,0.002
110,0.002
120,0.002
130,0.003
140,0.004
150,0.004
160,0.005
170,0.006
180,0.006
190,0.008
200,0.008
300,0.019
400,0.033
500,0.065
600,0.09
700,0.182
800,0.157
900,0.27
1000,0.286
1100,0.435
1200,0.389
1300,0.645
1400,0.584
1500,0.844
1600,1.011
1700,1.149
1800,1.059
1900,1.452
2000,1.335
2100,1.788
2200,1.623
2300,2.198
2400,2.218
2500,2.628
2600,2.395
2700,3.194
2800,3.012
2900,3.703
3000,3.438
3100,4.289
3200,4.586
3300,4.913
3400,4.552
3500,5.687
3600,5.242
3700,6.412
3800,6.398
3900,7.308
4000,6.716
4100,8.002
4200,7.288
4300,8.758
4400,8.071
4500,9.659
4600,9.06
4700,10.503
4800,10.445
4900,11.533
5000,10.947
5100,12.851
5200,11.904
5300,13.804
5400,13.403
5500,14.51
5600,14.147
5700,16.025
5800,15.092
5900,17.187
6000,15.749
6100,18.194
6200,17.036
6300,19.214
6400,30.401
6500,20.532
6600,19.405
6700,22.059
6800,20.466
6900,27.976
