width,time
2,0.003
4,0.003
6,0.003
8,0.003
10,0.005
20,0.005
30,0.007
40,0.009
50,0.011
60,0.012
70,0.015
80,0.017
90,0.018
100,0.02
110,0.022
120,0.023
130,0.025
140,0.016
150,0.018
160,0.018
170,0.019
180,0.02
190,0.022
200,0.018
300,0.026
400,0.035
500,0.047
600,0.055
700,0.062
800,0.072
900,0.081
1000,0.135
1100,0.139
1200,0.101
1300,0.109
1400,0.117
1500,0.125
1600,0.228
1700,0.142
1800,0.331
1900,0.372
2000,0.425
2100,0.402
2200,0.428
2300,0.472
2400,0.416
2500,0.435
2600,0.525
2700,0.421
2800,0.476
2900,0.529
3000,0.487
3100,0.565
3200,0.435
3300,0.542
3400,0.476
3500,0.429
3600,0.513
3700,0.541
3800,0.462
3900,0.538
4000,0.547
4100,0.553
4200,0.482
4300,0.557
4400,0.498
4500,0.515
4600,0.529
4700,0.54
4800,0.55
4900,0.517
5000,0.532
5100,0.54
5200,0.537
5300,0.515
5400,0.545
5500,0.564
5600,0.575
5700,0.577
5800,0.535
5900,0.573
6000,0.551
6100,0.583
6200,0.567
6300,0.568
6400,0.596
6500,0.581
6600,0.583
6700,0.582
6800,0.594
6900,0.598
