length,time
2,0.947
3,1.177
4,1.612
5,2.035
6,2.481
7,2.901
8,3.388
9,3.987
10,4.289
11,4.953
12,5.099
13,5.625
14,6.063
15,6.425
16,6.889
17,7.31
18,7.804
19,8.228
20,8.752
21,9.107
22,9.528
23,10.096
24,10.629
25,10.86
26,11.807
27,12.35
28,12.898
29,13.277
30,13.488
31,14.143
32,14.611
33,15.024
34,15.408
35,15.845
36,16.263
37,16.839
38,17.096
39,17.504
40,18.14
41,18.48
42,19.11
43,19.695
44,20.054
45,20.748
46,20.622
47,20.889
48,21.2
49,22.453
50,22.608
